DATE,Retail_Sales
7/1/2018,10035
8/1/2018,10352
9/1/2018,9210
10/1/2018,9383
11/1/2018,8923
12/1/2018,8629
1/1/2019,9135
2/1/2019,10005
3/1/2019,12250
4/1/2019,10630
5/1/2019,10805
6/1/2019,10316
7/1/2019,10491
8/1/2019,10590
9/1/2019,9685
10/1/2019,9983
11/1/2019,9630
12/1/2019,8840
1/1/2020,9140
2/1/2020,10780
3/1/2020,9450
4/1/2020,6504
